title,average_score,num_scores
Descendants of the Sun: BTS,8.202614379084967,153
My Rainy Days,8.20242214532872,578
The King of Dramas,8.202338129496402,556
Tiger & Dragon,8.201492537313433,67
Secret Garden Special,8.2,85
Fated to Love You,8.198775055679286,1796
The Library,8.198412698412698,63
The Quiz Show 2,8.19815668202765,217
May 18,8.195652173913043,92
Going by the Book,8.195054945054945,182
The Witness,8.194805194805195,77
"Crouching Tiger, Hidden Dragon",8.194285714285714,350
Twenty,8.19423929098966,677
Strawberry Night,8.193548387096774,217
I Will Teach You Love,8.19277108433735,83
Return of the Condor Heroes,8.19186046511628,86
HiGH&LOW SEASON 2,8.191176470588236,34
Jin Jin,8.191176470588236,34
The Liar and His Lover,8.190831556503198,469
Aftershock,8.19047619047619,105
The New World,8.18978102189781,137
Jang Yeong Shil,8.1875,32
The Chaser,8.1875,240
Kurokouchi,8.186440677966102,59
Date - 2015 Natsu Hito,8.183333333333334,60
Chuno,8.182027649769585,217
House of Flying Daggers,8.181914893617021,470
Monster Hunt,8.181818181818182,77
Scent of a Woman,8.181818181818182,836
Legal High SP 2,8.180851063829786,47
Soratobu Kouhoushitsu,8.180851063829786,141
Fireworks from the Heart,8.18,50
Cheo Yong 2,8.18,75
Broken,8.179487179487179,78
Glorious Day,8.178260869565218,115
A Man's Story,8.177272727272728,110
Scandal Makers,8.176842105263157,475
Ikigami: The Ultimate Limit,8.175,120
Heart to Heart,8.174117647058823,425
Umareru.,8.173469387755102,49
Night Flight,8.172932330827068,133
The Legend,8.17142857142857,175
Meitantei Conan,8.171140939597315,149
Orthros no Inu,8.17100977198697,307
"Please Come Back, Mister",8.170731707317072,410
More Than Blue,8.166666666666666,210
The Love of Siam,8.166666666666666,60
SPEC: Sho,8.1651376146789,109
Fearless,8.164429530201343,149
Kamen Rider Den-O,8.16304347826087,46
Bakuman.,8.162878787878787,132
Heavenly Forest,8.160617059891107,551
On The Way To The Airport,8.160493827160494,81
Manhattan Love Story,8.16,50
Tokyo Girl,8.159663865546218,238
Nodame Cantabile: The Final Score - Part I,8.158859470468432,491
Shiroi Haru,8.154545454545454,55
Beach Boys,8.153846153846153,39
SPEC: Rei,8.153846153846153,39
Anohana: The Flower We Saw That Day,8.153409090909092,88
Our Little Sister,8.153225806451612,62
Chocolate,8.152173913043478,46
Go Princess Go,8.151898734177216,79
Kung Fu Hustle,8.151624548736462,277
I Give My First Love to You,8.15079365079365,819
Yoo Na's Street,8.15,30
Library Wars,8.15,100
Be with You,8.148936170212766,94
"Okaasan, Ore wa Daijoubu",8.148148148148149,27
"Rich Man, Poor Woman in New York",8.147597254004577,437
Flower Grandpa Investigation Unit,8.147058823529411,170
The Client ,8.146464646464647,99
The Suspect,8.145390070921986,141
Farewell My Concubine,8.14406779661017,59
Ikebukuro West Gate Park,8.14375,80
My Little Hero,8.142857142857142,91
River’s Edge Okawabata Tanteisha,8.142857142857142,42
Arang and the Magistrate,8.139522258414766,921
Grave Of The Fireflies,8.137254901960784,51
Ooku: Arikoto Iemitsu Hen,8.136363636363637,55
My Beautiful Bride,8.135838150289016,173
Tantei Gakuen Q,8.135593220338983,177
Sunflower,8.135593220338983,59
Postman To Heaven,8.134900990099009,808
The Palace,8.134408602150538,93
Horse Doctor,8.134146341463415,41
ROOKIES,8.131868131868131,182
BORDER,8.13111111111111,225
BOSS 2,8.129464285714286,112
BOSS,8.128415300546449,183
Once Upon a Time in China 2,8.128205128205128,39
Heard it Through the Grapevine,8.127450980392156,102
Bara no nai Hanaya,8.127388535031848,157
The Village: Achiara's Secret,8.125373134328358,335
You Who Came from the Stars: The Beginning,8.125,68
The Peach Tree,8.125,32
Yokoso Wagaya e,8.125,36
New Tales of Gisaeng,8.123529411764705,170
Kagi no Kakatta Heya SP ,8.12295081967213,61
Buzzer Beat,8.122086570477247,901
Babo: Miracle of a Giving Fool,8.121621621621621,222
Kingyo Club,8.121513944223107,251
Welcome to Dongmakgol,8.121495327102803,107
Galileo,8.120689655172415,203
City Hall,8.120689655172415,348
Assembly,8.119047619047619,42
You and Me,8.118279569892474,93
ON Ijou Hanzai Sousakan Todo Hinako,8.116666666666667,30
Kikujiro,8.115384615384615,39
Kindaichi Shonen no Jikenbo: Gokumon Juku Satsujin Jiken,8.114035087719298,57
Deranged,8.113924050632912,158
Grey Rainbow,8.113636363636363,44
All About My Mom,8.11111111111111,81
Midnight FM,8.11038961038961,308
Candy House,8.109756097560975,41
D.I.E.,8.109375,32
Genome Hazard,8.108695652173912,46
Yi San,8.108433734939759,83
Yasha,8.107142857142858,42
"Bring It On, Ghost",8.106029106029107,481
Kimi ni shika kikoenai,8.105504587155963,218
Koizora,8.105177993527509,1854
HiGH&LOW,8.10377358490566,53
Back to 1989,8.10344827586207,58
Take Five ~ Oretachi wa Ai wo Nusumeru ka,8.10204081632653,49
Trick 2,8.10204081632653,49
The Whirlwind Girl,8.101449275362318,69
Cold Eyes,8.10070671378092,283
Padam Padam,8.1,345
Ninkyo Helper,8.1,155
Running Man,8.0990990990991,111
The Painter of the Wind,8.098726114649681,157
Once Upon a Time in China,8.098214285714286,56
The Wailing,8.096774193548388,62
